customer_age,account_balance,monthly_charges,total_charges,support_calls,contract_length,service_usage,satisfaction_score,tenure_months,num_services,target
46,1077.35,71.97,0.0,3,24,44.7,9.3,2,2,0
38,1885.13,70.67,734.02,2,1,69.8,7.6,20,2,1
48,1216.74,46.27,1295.57,0,12,14.4,8.2,50,5,0
58,3517.93,76.59,2179.6,2,1,26.8,8.1,22,2,0
37,17957.58,35.2,3228.99,3,1,13.6,7.3,11,5,1
37,937.71,51.92,2832.96,3,1,18.0,10.0,35,2,1
59,13376.18,25.02,584.81,2,24,48.7,4.7,11,4,0
49,922.87,96.17,1553.95,3,1,28.1,6.2,7,2,0
34,835.94,60.37,2091.65,4,1,36.9,7.1,2,5,0
47,10177.06,108.34,1685.35,2,24,44.0,5.8,49,1,1
34,11883.48,81.06,1676.85,3,12,22.3,5.9,25,3,0
34,10690.54,73.96,0.0,2,12,22.3,4.3,15,2,0
43,414.18,53.28,616.72,1,24,41.9,5.3,25,2,0
18,1481.89,44.07,1516.47,1,24,17.5,5.9,4,4,0
19,10244.36,75.46,0.0,0,24,25.8,6.6,1,3,0
33,3172.62,63.57,2768.77,1,12,11.9,7.0,39,3,1
28,595.54,38.21,352.79,0,12,29.1,4.6,56,4,0
44,5928.21,34.66,2824.21,0,24,12.1,5.1,3,3,0
29,1020.24,45.83,2718.7,3,24,20.2,7.0,13,1,0
23,43993.06,101.42,1347.57,2,12,17.1,7.6,56,1,1
58,30250.32,109.27,3200.66,4,1,40.8,7.1,40,5,0
37,7377.18,69.1,2891.84,1,24,11.9,4.8,12,3,0
41,22960.03,67.98,1629.25,3,1,24.7,6.3,2,3,1
23,3285.21,58.27,1493.89,2,1,28.0,7.0,9,3,0
33,9397.1,46.31,3316.68,2,1,40.6,7.3,40,3,0
41,27352.97,92.5,2278.42,2,1,10.4,8.0,6,4,0
26,4308.08,102.47,3253.64,4,24,24.4,6.3,64,5,1
45,2032.9,47.13,0.0,2,1,8.4,6.6,11,2,0
33,231.15,63.34,2118.18,4,1,60.1,6.5,46,4,0
36,2631.47,56.0,107.11,2,1,13.9,7.6,13,1,0
33,10251.04,56.6,1969.05,4,1,14.1,7.4,18,4,0
62,12313.48,88.72,2856.58,2,12,36.4,5.5,38,4,0
40,6352.14,38.76,4086.97,3,12,4.7,6.8,9,4,0
27,1323.52,74.33,874.2,3,24,46.0,9.6,0,3,0
50,153.66,79.56,1369.15,3,24,34.0,8.2,5,5,0
25,1418.25,62.16,1885.36,5,1,45.3,2.2,11,6,0
43,1888.4,82.86,830.56,1,12,26.6,8.2,75,2,0
18,1864.24,67.95,3174.27,4,12,61.7,6.4,63,1,0
24,7538.92,89.34,1915.89,2,1,26.4,10.0,77,4,0
42,58601.44,34.56,2146.35,2,12,30.7,9.2,52,3,0
49,3587.8,58.02,2744.21,4,1,9.6,7.7,34,3,0
42,2153.61,63.56,1913.95,0,1,45.6,8.4,0,3,0
39,2020.64,11.56,1018.95,1,12,34.6,10.0,14,1,0
36,3592.4,43.28,1924.38,2,1,31.5,7.5,82,3,0
22,860.54,48.73,972.58,1,1,43.8,4.0,3,4,0
31,3569.92,83.96,2129.58,2,1,45.3,7.7,31,4,0
34,5861.84,50.86,3196.33,4,1,56.7,7.6,33,1,0
53,4082.76,48.64,590.03,4,1,1.8,7.7,6,3,0
44,5921.31,81.35,161.15,1,12,34.3,5.5,63,2,1
19,5713.7,32.64,2059.1,2,1,9.4,8.3,6,2,0
44,208.96,23.58,1078.64,2,24,26.3,8.1,69,3,0
35,7748.89,57.77,2038.09,2,24,23.1,4.6,22,3,0
32,1089.5,36.05,2384.48,2,12,17.4,5.8,0,2,0
47,576.08,36.81,0.0,1,1,13.5,7.1,23,2,1
52,568.68,76.47,2827.82,3,24,30.8,6.9,19,2,0
51,5711.93,82.52,596.4,0,12,9.1,4.2,26,3,0
30,2134.82,80.78,1973.18,5,1,18.9,7.2,18,3,0
36,239.14,87.18,1208.74,2,24,19.7,6.7,22,3,0
44,6106.18,89.82,1337.65,2,1,42.5,5.5,22,1,0
52,,22.43,4032.75,1,12,16.4,6.3,42,4,1
34,3676.56,74.01,2383.12,4,24,58.4,5.2,26,5,0
38,4263.09,54.41,3085.63,3,1,16.9,7.3,8,1,0
27,11252.73,50.05,2181.13,2,1,25.7,4.8,1,5,0
26,43153.86,76.21,2744.02,1,24,34.0,7.1,12,1,1
50,384.9,30.39,2500.85,1,24,20.3,7.9,25,4,0
56,2755.32,29.98,2305.35,2,1,12.3,4.9,6,6,1
39,1969.43,77.67,3328.59,1,12,25.2,5.1,86,2,1
52,5713.71,74.76,2187.81,1,1,15.1,8.7,106,1,0
44,4119.57,67.73,4742.18,1,24,12.1,7.8,15,2,0
32,1756.68,47.4,3152.64,3,12,41.8,10.0,79,7,1
44,1538.63,79.88,632.55,4,24,22.4,7.3,33,2,1
58,558.54,78.61,1788.14,1,24,57.8,7.3,26,3,0
40,13118.68,66.71,2476.49,3,24,28.5,8.3,34,3,1
59,5936.09,41.45,2053.4,1,1,25.7,5.1,28,2,0
18,11809.41,56.5,2824.25,3,24,5.1,6.6,42,3,0
50,1871.33,81.76,2956.42,0,1,41.2,8.7,1,1,0
41,1112.92,91.54,368.5,5,1,28.4,7.9,56,6,0
36,591.42,58.47,3537.29,0,1,16.4,4.5,7,5,0
41,5107.05,60.01,1403.82,4,12,14.4,6.3,19,3,1
18,626.6,61.77,1284.91,1,12,29.1,8.6,46,2,0
37,47714.69,70.5,1281.05,4,24,46.6,7.7,10,4,0
44,419.28,53.38,2970.29,5,24,15.0,8.2,105,1,1
58,4493.96,10.0,1679.52,2,12,25.1,2.4,5,3,0
34,31265.86,88.86,1203.74,2,12,43.3,8.7,6,6,0
30,7321.97,100.89,1491.25,1,12,9.4,5.5,17,4,1
34,3879.69,52.75,0.0,1,12,19.9,6.3,2,4,0
51,697.34,43.67,989.4,4,12,39.8,4.9,0,6,1
44,375.16,62.26,512.5,3,24,24.3,5.8,26,2,1
34,9462.34,61.25,1677.0,1,1,49.8,5.3,15,2,0
46,28544.54,84.91,2797.03,3,24,38.0,8.0,30,3,1
41,1543.37,66.09,2664.65,4,1,58.8,10.0,75,4,0
52,539.91,49.15,3508.1,1,12,20.7,10.0,69,3,0
32,74.65,38.63,3240.77,1,24,31.1,4.7,33,2,0
36,684.61,82.31,1365.68,2,1,37.8,6.5,14,8,0
35,2513.71,76.99,2022.89,2,24,18.0,2.0,15,1,0
22,32816.44,86.21,1960.93,1,12,7.7,7.6,15,4,0
44,8182.07,45.64,0.0,1,24,27.1,6.1,47,1,0
43,4710.87,101.77,539.29,1,24,19.9,9.1,41,2,1
40,1635.69,30.13,1799.26,4,1,48.2,7.5,29,5,1
37,1242.96,79.19,1792.52,2,24,14.0,3.7,25,1,0
23,24550.1,26.81,2614.79,1,1,11.2,5.8,8,4,1
35,4028.33,49.19,2556.37,3,12,47.3,7.8,18,6,0
36,127.24,96.22,0.0,0,24,8.8,6.0,10,4,0
30,1085.39,81.63,2622.32,1,1,9.1,8.1,21,6,1
38,822.77,54.08,2214.3,1,12,5.9,3.7,59,4,1
45,1313.7,54.62,2748.05,4,1,20.2,6.0,19,5,1
63,6935.21,67.01,3280.24,2,1,25.2,9.1,120,4,1
42,2537.24,75.28,1828.54,0,1,26.3,4.8,17,6,1
43,2656.33,90.03,3494.71,0,24,27.3,6.6,5,2,0
39,21379.97,55.88,932.72,1,12,18.8,9.5,93,3,0
18,1048.7,32.76,865.11,1,1,4.3,6.4,4,5,1
40,48839.72,68.14,2514.53,2,24,16.5,7.6,21,3,0
41,1089.03,55.85,1557.48,2,1,22.4,8.8,31,4,0
70,,38.99,2313.96,4,24,38.8,4.1,16,3,1
38,1955.1,70.95,4391.58,0,12,29.0,6.7,1,7,0
44,3587.21,60.74,2472.19,0,12,3.1,9.7,24,2,1
40,5807.4,71.13,2254.6,2,1,21.2,6.6,102,3,0
26,5714.45,47.11,956.94,2,12,36.3,9.0,28,1,1
54,963.26,74.73,0.0,1,24,21.6,5.8,23,1,1
49,553.15,38.66,1912.94,1,1,77.9,6.8,21,2,1
49,100000.0,48.45,3280.24,1,1,17.8,10.0,11,4,0
29,1442.34,60.14,1612.47,5,24,53.9,8.8,8,2,0
57,8508.48,99.84,2481.75,7,1,17.7,8.7,31,2,0
23,267.34,80.7,3711.8,3,1,37.0,8.2,8,5,0
47,1959.77,86.54,3681.82,2,1,39.4,6.7,59,5,0
66,2463.16,93.34,2514.58,1,1,31.2,7.8,5,1,1
28,6058.53,137.06,2204.13,3,12,30.3,6.1,87,2,1
33,50.22,65.83,177.64,1,1,57.6,3.5,14,6,1
41,3824.61,93.41,1243.77,2,1,39.9,7.9,2,3,1
34,531.33,85.25,1663.09,4,24,5.7,10.0,1,4,0
21,4848.96,84.92,977.2,2,24,51.4,3.6,43,2,1
41,629.87,100.48,2298.14,1,1,22.8,4.2,17,3,0
27,826.15,56.61,4293.98,1,1,40.1,5.0,5,1,0
46,1977.44,55.03,3821.31,2,24,2.7,9.4,7,1,0
29,614.93,71.4,2292.66,3,24,16.8,6.6,2,3,0
59,,61.35,2935.32,0,24,33.2,6.1,7,1,0
31,497.67,71.37,1125.67,3,24,28.5,7.5,2,2,0
36,190.61,96.25,3756.91,1,12,36.0,6.8,13,3,0
50,13724.47,55.44,125.64,0,1,11.9,8.0,15,1,0
25,426.63,58.91,3095.39,2,24,17.1,7.3,20,3,0
43,2280.11,68.49,2594.71,2,24,13.8,1.9,20,7,1
56,9221.9,60.43,1092.97,0,24,7.5,8.1,9,1,0
21,1185.1,26.72,1749.46,3,24,3.5,5.1,49,1,0
42,864.59,53.4,638.9,0,12,32.4,5.0,9,1,1
43,4185.4,78.75,690.03,3,12,45.4,6.5,21,4,0
49,15945.0,93.75,90.74,2,1,14.1,3.4,9,2,0
25,515.96,41.91,2921.02,0,1,23.2,7.5,42,5,0
24,2379.82,41.81,3446.41,2,12,11.9,8.0,120,6,0
46,221.69,65.6,0.0,2,12,38.0,9.2,4,6,0
44,1652.75,23.49,4205.97,4,24,35.9,6.8,74,2,0
43,3137.89,56.1,1985.59,3,12,8.9,5.2,2,4,0
44,827.21,30.28,2347.82,1,24,14.7,4.7,39,3,0
32,1501.94,92.38,233.1,1,1,23.6,8.1,69,2,0
43,360.56,49.61,3584.99,3,24,25.5,6.1,25,5,1
44,3346.32,98.06,2240.3,2,1,29.3,2.0,10,2,1
31,14523.76,87.27,3366.59,3,12,12.3,6.2,5,1,1
62,574.95,52.07,3465.03,0,1,5.0,9.2,41,3,0
46,1171.44,43.56,3601.85,3,1,0.7,9.6,2,4,0
26,6334.84,61.13,1222.06,2,1,15.6,5.3,16,4,0
48,18363.79,62.91,1750.45,5,12,17.6,5.6,38,2,0
28,317.42,71.92,1265.96,1,1,25.8,6.4,42,1,0
49,2314.21,49.47,3074.12,2,24,70.8,5.9,10,5,0
54,4558.26,79.93,2399.47,3,24,26.9,9.5,18,1,0
30,2557.83,70.31,3282.97,3,12,6.8,7.0,4,4,1
52,72.59,58.19,3335.29,7,12,10.6,7.7,21,2,0
45,6321.01,50.76,0.0,0,1,30.2,5.2,15,2,1
50,29114.88,61.3,3620.92,4,12,22.8,6.4,57,1,1
63,3551.03,48.66,3141.03,3,12,43.2,3.8,15,3,1
37,634.82,66.17,1556.93,4,1,6.3,7.7,24,2,1
31,1380.65,66.71,2419.75,2,12,17.4,7.3,11,2,0
29,42398.56,70.23,1851.6,1,12,28.5,7.7,8,8,1
30,11671.95,100.32,2739.27,2,12,55.2,9.9,3,1,0
